,weight_2022,citax_2022,Net_Income_2022,weight_ref_2022,citax_ref_2022,Net_Income_ref_2022,weight_ref_2023,citax_ref_2023,Net_Income_ref_2023,weight_ref_2024,citax_ref_2024,Net_Income_ref_2024,weight_ref_2025,citax_ref_2025,Net_Income_ref_2025,weight_ref_2026,citax_ref_2026,Net_Income_ref_2026,weight_ref_2027,citax_ref_2027,Net_Income_ref_2027,weight_ref_2028,citax_ref_2028,Net_Income_ref_2028,weight_ref_2029,citax_ref_2029,Net_Income_ref_2029,weight_ref_2030,citax_ref_2030,Net_Income_ref_2030,ETR,ETR_ref
41,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,"1,337.0000",19.0000,114.0000,0.1667,0.1667
42,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,"1,338.0000",20.0000,118.0000,0.1695,0.1695
43,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,"1,337.0000",21.0000,121.0000,0.1736,0.1736
44,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,"1,338.0000",22.0000,125.0000,0.1760,0.1760
45,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,"1,337.0000",23.0000,128.0000,0.1797,0.1797
46,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,"1,338.0000",24.0000,132.0000,0.1818,0.1818
47,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,"1,337.0000",25.0000,135.0000,0.1852,0.1852
48,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,"1,338.0000",26.0000,139.0000,0.1871,0.1871
49,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,"1,337.0000",27.0000,143.0000,0.1888,0.1888
50,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,"1,337.0000",28.0000,148.0000,0.1892,0.1892
